"DID","NAME","DOB","IMAGE"
5655,"Wes Anderson","5/1/1969","http://image.tmdb.org/t/p/original/r6mr3gvbuocMznHXSlXVKDj7mEI.jpg"
5656,"Noah Baumbach","9/3/1969","http://image.tmdb.org/t/p/original/6PuCDnBLURBnLCuat7BfouH9Gus.jpg"
5690,"James Algar","6/11/1912","http://image.tmdb.org/t/p/original/3dSa9LsutXEjnsEuZfuIWznQkkC.jpg"
5691,"Samuel Armstrong","",""
5696,"Bruce Beresford","8/16/1940","http://image.tmdb.org/t/p/original/2BM92YfwzMpFkk5IlNZfZqPmODy.jpg"
5713,"Chris Wedge","3/20/1957","http://image.tmdb.org/t/p/original/iFT7oH4LdkByqwPgAs2XfNVJCXO.jpg"
5714,"Carlos Saldanha","1/24/1965","http://image.tmdb.org/t/p/original/qoLZZnTGm55EuQOfeVLODthuNyo.jpg"
5834,"Robert Stevenson","3/31/1905","http://image.tmdb.org/t/p/original/86MMwlxQ7AhJMn1JnDg8hjZbnSy.jpg"
5872,"Joshua Marston","","http://image.tmdb.org/t/p/original/hrkZrNwmP4m0XBkHAQHsRWVwfml.jpg"
5877,"Vincenzo Natali","","http://image.tmdb.org/t/p/original/4rdmLwBRQKs1gpjEfrTxabOUerv.jpg"
5917,"Ernie Barbarash","1/29/1947",""
5953,"Spike Jonze","10/22/1969","http://image.tmdb.org/t/p/original/1gsdqWauZctl7h65N1wg4IKNmhl.jpg"
6011,"Michael Haneke","3/23/1942","http://image.tmdb.org/t/p/original/xxHw9hBEXL4BrktfG3Q3vVZBx2D.jpg"
6037,"Colin Strause","11/8/1976","http://image.tmdb.org/t/p/original/r5JVeKjHtc394izdBJs9T0hCH7L.jpg"
6038,"Greg Strause","1/16/1975","http://image.tmdb.org/t/p/original/xcEcDFHoTkIuOkLeWRuX3ksJmy1.jpg"
6046,"Roland Emmerich","11/10/1955","http://image.tmdb.org/t/p/original/4Ncy5QGlxbTMvHtHaV6f6SbzVv3.jpg"
6047,"Jeffrey Nachmanoff","",""
6111,"Mike Figgis","2/28/1948","http://image.tmdb.org/t/p/original/nIaxYZkNX6j70VQyHwzed1QxOXD.jpg"
6159,"Ron Howard","3/1/1954","http://image.tmdb.org/t/p/original/67WIgpOGIeb4NSN9yIxsOITbnns.jpg"
6201,"Baz Luhrmann","9/17/1962","http://image.tmdb.org/t/p/original/nVDXwNxDpvqJ9R2Nfy6BAc2YQEA.jpg"
6220,"Gurinder Chadha","1/10/1960","http://image.tmdb.org/t/p/original/AbUt77nmapBzaXMq9EvNNjK0ZMm.jpg"
6349,"Alan J. Pakula","4/7/1928","http://image.tmdb.org/t/p/original/vzvxrcoFirt0LJb0hG0ezP64mYr.jpg"
6384,"Keanu Reeves","9/2/1964","http://image.tmdb.org/t/p/original/id1qIb7cZs2eQno90KsKwG8VLGN.jpg"
6431,"Darren Aronofsky","2/12/1969","http://image.tmdb.org/t/p/original/mtEWAhXMFBhs7ckNZkCvbKBZUDf.jpg"
6448,"Arthur Penn","9/27/1922","http://image.tmdb.org/t/p/original/9AhlOTiOBZU4ptgi9hKUOkkTGzW.jpg"
6449,"Warren Beatty","3/30/1937","http://image.tmdb.org/t/p/original/hLUJ6PiDUJbhxdsncJrgZmv8DNm.jpg"
6482,"John Singleton","1/6/1968","http://image.tmdb.org/t/p/original/xmVaXjAAywPh7HIrYjLVsjfKPrV.jpg"
6495,"Mira Nair","10/15/1957","http://image.tmdb.org/t/p/original/kHsDhH7maEHxmanGh0ZiFCtT5GI.jpg"
6508,"Loveleen Tandan","",""
6593,"John Huston","8/5/1906","http://image.tmdb.org/t/p/original/2KAkuw5504gAdF0BPrJNU2BB5BX.jpg"
6648,"Ingmar Bergman","7/14/1918","http://image.tmdb.org/t/p/original/rHYYP3N2ivz6WTuTHsLX58Gab7G.jpg"
6729,"Robert Benton","9/29/1932","http://image.tmdb.org/t/p/original/wVaHC1VX9yBg9MIEC7POAJ0JlUo.jpg"
6733,"Dan Mazer","",""
6737,"Jay Roach","6/14/1957","http://image.tmdb.org/t/p/original/raDxLyGeh9ODHeCdIuUgVEBjntj.jpg"
6767,"Larry Charles","2/20/1956","http://image.tmdb.org/t/p/original/fg42iXWfuIeRVk4NFNWvWJf4hst.jpg"
6818,"Werner Herzog","9/5/1942","http://image.tmdb.org/t/p/original/uzVcWEmasjz1Wl7w5mBF5vmmHlK.jpg"
6884,"Patty Jenkins","7/24/1971",""
7017,"Roger Michell","6/5/1956","http://image.tmdb.org/t/p/original/zDjSgsAY44QJljrvzIZWnWauqlg.jpg"
7018,"Richard Curtis","11/8/1956","http://image.tmdb.org/t/p/original/zdf2n8YotKwRFG2dQBm34f0UvVD.jpg"
7087,"Brad Bird","9/11/1957","http://image.tmdb.org/t/p/original/2XwJyYs6XNLaQuC1O2gbEHT3jxx.jpg"
7145,"Michael Lehmann","3/30/1957","http://image.tmdb.org/t/p/original/rM0KmE5Fr9zAi5gzQv9bc78Q1GX.jpg"
7187,"Richard Donner","4/24/1930","http://image.tmdb.org/t/p/original/aeNL7aMR9P9BXbBIVwV5H6AexkH.jpg"
7213,"Jonathan Mostow","11/28/1961","http://image.tmdb.org/t/p/original/hHJjES7xDqHhFhyPvqytwJ8yGk3.jpg"
7256,"Lee Tamahori","6/17/1950","http://image.tmdb.org/t/p/original/prKk2YCHZhp9ChoWOPEFRDsJhcv.jpg"
7270,"Adrian Lyne","3/4/1941",""
7312,"Angela Robinson","2/14/1971","http://image.tmdb.org/t/p/original/fA8mw3bRWALK7ZGi0YUpDxNWVVf.jpg"
7313,"Steve Box","1/23/1967",""
7314,"Nick Park","12/6/1958","http://image.tmdb.org/t/p/original/wWqFv6e3FnX3Gw1IRYvbmZbPmB8.jpg"
7395,"Bobby Farrelly","6/17/1958","http://image.tmdb.org/t/p/original/8rlgvqmsfUiDTfywVGnJbamah03.jpg"
7396,"Peter Farrelly","12/17/1956","http://image.tmdb.org/t/p/original/gJcM7v6tTOKXfiqhtH3GcCyojgv.jpg"
7399,"Ben Stiller","11/30/1965","http://image.tmdb.org/t/p/original/umikKeCX3vEZoUcx2klxPG8571s.jpg"
7409,"J.B. Rogers","","http://image.tmdb.org/t/p/original/rL2r7j20Aq2JRWeDpTpk35YxUzb.jpg"
7467,"David Fincher","8/28/1962","http://image.tmdb.org/t/p/original/dcBHejOsKvzVZVozWJAPzYthb8X.jpg"
7501,"Ronald Neame","4/23/1911","http://image.tmdb.org/t/p/original/6ET8GlWzxTkQu5sEH24I0UZ6IrG.jpg"
7623,"Sam Raimi","10/23/1959","http://image.tmdb.org/t/p/original/LaCTPq1oh0nAs3mzwsc057OaPr.jpg"
7727,"Phil Tippett","","http://image.tmdb.org/t/p/original/2uQ0B7fN5cDQk17J1X3pxDSf9y.jpg"
7767,"Sam Peckinpah","2/21/1925","http://image.tmdb.org/t/p/original/lsNMJtmZwLYB8pl1gE7S6cBbuSc.jpg"
7775,"Stephen Sommers","3/20/1962","http://image.tmdb.org/t/p/original/50bI0PixdzrD5Mdygl4wrpxHCiH.jpg"
7791,"Peter Howitt","5/5/1957","http://image.tmdb.org/t/p/original/cwgHjbx5LitEns32kmdmj1diREi.jpg"
7832,"Oliver Hirschbiegel","12/29/1957","http://image.tmdb.org/t/p/original/hvM9iMto24seiLGeJ7LKvCZoiOE.jpg"
7865,"Michael Brandt","10/1/1968","http://image.tmdb.org/t/p/original/kt2jIsCdqvWgg8Q12gsawWefXwW.jpg"
7879,"John Lasseter","1/12/1957","http://image.tmdb.org/t/p/original/nTL3Hi4Fxc5iMNULXgCbRVADBXG.jpg"
7881,"Jill Culton","",""
7883,"Ralph Eggleston","","http://image.tmdb.org/t/p/original/uUfcGKDsKO1aROMpXRs67Hn6RvR.jpg"
7908,"Frank Oz","5/25/1944","http://image.tmdb.org/t/p/original/aLH5bYwMIlVxCe4rIDaEsVJqDKn.jpg"
7911,"Joe Ranft","3/13/1960","http://image.tmdb.org/t/p/original/4BMTIalaXLfb2PZXqBTBvM5ks8Z.jpg"
7929,"Angus MacLane","","http://image.tmdb.org/t/p/original/7U1mEvzHGNJiC07EOhKIKSl3Qiy.jpg"
7930,"Jan Pinkava","6/21/1963","http://image.tmdb.org/t/p/original/rzQqU5P6NJie92Ltc5iJPtGsuPa.jpg"
8010,"Doug Sweetland","",""
8020,"John Kahrs","",""
8023,"Kyle Balda","",""
8029,"Jimmy Hayward","","http://image.tmdb.org/t/p/original/lTDRpudEY7BDwTefXbXzMlmb0ui.jpg"
8193,"Florian Henckel von Donnersmarck","5/2/1973","http://image.tmdb.org/t/p/original/wQA7iaeaSWbAFB7oOFV0NRGjUMa.jpg"
8246,"Barry Levinson","4/6/1942","http://image.tmdb.org/t/p/original/AvPOBBODhSCtUJAqxeq2s0nYnTw.jpg"
8296,"Christophe Gans","3/11/1960","http://image.tmdb.org/t/p/original/8tFxHa7RT3MOBTs72j9pSwkG6MJ.jpg"
8300,"Kevin Reynolds","1/17/1952","http://image.tmdb.org/t/p/original/drxXtPvCxVtw0VLn1on073OrW9s.jpg"
8328,"John Milius","4/11/1944","http://image.tmdb.org/t/p/original/uBNb69DEc84IZxKD1bdo8Ex2j6j.jpg"
8392,"Pascal Chaumeil","",""
8482,"Robert Mulligan","8/23/1925","http://image.tmdb.org/t/p/original/uqh0IKRmazRkxi9F2g7fnpJhZBa.jpg"
8500,"John Ford","1894-02-01","http://image.tmdb.org/t/p/original/pqdzojb3MssJte6RRMqGLvcyH6q.jpg"
8557,"Fernando Meirelles","11/9/1955","http://image.tmdb.org/t/p/original/j77Z3f2m0e211ocFhPJu5ZiO12R.jpg"
8574,"Walter Salles","4/12/1956","http://image.tmdb.org/t/p/original/znA7a1Mgzkhe40vBFfppcUc8p29.jpg"
8635,"Buster Keaton","1895-10-04","http://image.tmdb.org/t/p/original/pYsC0NiYf4EtyVv637Ax5mB9RJz.jpg"
8636,"Cecil B. DeMille","1881-08-12","http://image.tmdb.org/t/p/original/kExzR3BaJtqjzondeZ2LXORyXws.jpg"
8684,"Dan Bradley","",""
8685,"Andrew Niccol","6/1/1964","http://image.tmdb.org/t/p/original/ufWm8st5GYkWjTFEATiNKidtwy0.jpg"
8686,"Sacha Gervasi","","http://image.tmdb.org/t/p/original/sb02iw4jRlZdCMdUC8DCH7CQf4F.jpg"
8843,"Mick Jackson","10/4/1943","http://image.tmdb.org/t/p/original/eZKzRhgiX0fTNz6twzIOeaLMOJB.jpg"
8844,"Lawrence Kasdan","1/14/1949","http://image.tmdb.org/t/p/original/pBAB9NAMRhL2IBYcgLu6P1CdXbW.jpg"
8858,"Ivan Reitman","10/27/1946","http://image.tmdb.org/t/p/original/vYT8xpWCzKZc9F02Oqihxx1GFyg.jpg"
8876,"Randal Kleiser","7/20/1946","http://image.tmdb.org/t/p/original/dtSwBcwtYZL9ir9zfKZaTdwdiSm.jpg"
8929,"Charles Crichton","8/6/1910","http://image.tmdb.org/t/p/original/9ahf7Ghdy9x9pXue1PeC1bFMu2y.jpg"
8965,"Roland Joffé","11/17/1945",""
8966,"Bruce Robinson","5/2/1946","http://image.tmdb.org/t/p/original/pQjNiS9yARUl12eKTLaaTVPlY8k.jpg"
9032,"Bryan Singer","9/17/1965","http://image.tmdb.org/t/p/original/kega0yqo7Zq1gpvD7E5Ihm7bbHv.jpg"
9033,"Christopher McQuarrie","","http://image.tmdb.org/t/p/original/cr7ai7TiaIfqfciM9Igk7E6t9d0.jpg"
9049,"Victor Fleming","1889-02-23","http://image.tmdb.org/t/p/original/Lq3Hb5VsmTSIEaYvgfbpK8r8Tk.jpg"
9054,"Mervyn LeRoy","10/15/1900","http://image.tmdb.org/t/p/original/bbzImfUjJ7v9U86WCpXMjAF4Nap.jpg"
9076,"F.W. Murnau","1888-12-28","http://image.tmdb.org/t/p/original/1b1z38x56Hns01JDVA7DVw5ReGq.jpg"
9108,"Don Taylor","12/13/1920","http://image.tmdb.org/t/p/original/ozLWbvtjxMhthQZQpGwpJ5UgZf5.jpg"
9158,"Sharon Maguire","","http://image.tmdb.org/t/p/original/oy9U1x6801cocQT5uQNhLvrCCtc.jpg"
9168,"Alan Parker","2/14/1944","http://image.tmdb.org/t/p/original/vABD5OnVL9TcuxLHae6EOTDfWiW.jpg"
9181,"Edward Zwick","10/8/1952","http://image.tmdb.org/t/p/original/qEmouXjgamajbrb4ajQ6usGgkzj.jpg"
9198,"Vincent Ward","2/16/1956",""
9200,"John McNaughton","1/13/1950","http://image.tmdb.org/t/p/original/4EoxmVdvj7ZKNOAytTdIijn32Wl.jpg"
9248,"Nora Ephron","5/19/1941","http://image.tmdb.org/t/p/original/dSDb6EJ31Y5eqdgOPQmS66GYfAL.jpg"
9281,"Elizabeth Banks","2/10/1974","http://image.tmdb.org/t/p/original/w2RrVNLQa4ApXhpIgWTkpNVS2kd.jpg"
9339,"Andy Wachowski","12/29/1967","http://image.tmdb.org/t/p/original/nh5SBuv9cm1FByTc7dlV0zyO3GO.jpg"
9340,"Lana Wachowski","6/21/1965","http://image.tmdb.org/t/p/original/fxZ7SpJCZ9DgJERWEpGmn5a4mdp.jpg"
9556,"David Barrett","","http://image.tmdb.org/t/p/original/ghWOXqNnJIYKH1GDkym7YyUx882.jpg"
9577,"George Roy Hill","12/20/1921","http://image.tmdb.org/t/p/original/p2CQkWZo3AXFPQ9gussyEC3BEPh.jpg"
9622,"Eric Brevig","","http://image.tmdb.org/t/p/original/mhZIBHaVpQPhbY38aQTxW1W9BIC.jpg"
9660,"Tetsuya Nomura","6/19/1971","http://image.tmdb.org/t/p/original/vAYJYfS6mij9YnE1LcAbNvQuKv4.jpg"
9661,"Takeshi Nozue","","http://image.tmdb.org/t/p/original/5FDWOpVI7RMRibe7778o0JhVxq3.jpg"
9789,"Robert Altman","2/20/1925","http://image.tmdb.org/t/p/original/jf8SjGazh6TRr1LVL2UjL1WMDBN.jpg"
9855,"Terence Young","6/20/1915","http://image.tmdb.org/t/p/original/vXufUCM2ybRgYggqxoV5479a03Y.jpg"
9868,"Peter R. Hunt","3/11/1925",""
9894,"Bernhard Wicki","10/28/1919","http://image.tmdb.org/t/p/original/kWBdiWLhjdFDMV953W5xhFyHTxv.jpg"
9915,"Guy Hamilton","9/16/1922","http://image.tmdb.org/t/p/original/nfpwznE0b2NMgoPRsgJoNkRAETD.jpg"
10001,"William Wyler","7/1/1902","http://image.tmdb.org/t/p/original/AvxH2K3FDzui3je0wQZBKN3IUTt.jpg"
10051,"Tobe Hooper","1/25/1943","http://image.tmdb.org/t/p/original/fsPSiL7qhUBULig72zdfKWSDa1V.jpg"
10076,"Lewis Gilbert","3/6/1920","http://image.tmdb.org/t/p/original/rKZN3NkqtEMyS7yF46Xelykhhf5.jpg"
10099,"Park Chan-wook","8/23/1963","http://image.tmdb.org/t/p/original/eFRXaT3RMoPemwDLNvfiFP0h8RX.jpg"
10179,"John Glen","5/15/1932","http://image.tmdb.org/t/p/original/uR9zerOtAOSAC7rSuGLyAv03vtv.jpg"
10367,"John Waters","4/22/1946","http://image.tmdb.org/t/p/original/3qDSp0LlJ1Q2y802OyJcHVARsbZ.jpg"
10395,"Jon Poll","",""
10491,"Paul Verhoeven","7/18/1938","http://image.tmdb.org/t/p/original/mlIV2V9OYcnmudqv1iZw7QrdSSh.jpg"
10517,"Clyde Bruckman","1894-09-20",""
10586,"Richard Lester","1/19/1932","http://image.tmdb.org/t/p/original/2H4PFCd4G8BLHK34lTsUs3cn2tM.jpg"
10601,"Joseph L. Mankiewicz","2/11/1909","http://image.tmdb.org/t/p/original/4nXrV7vGy3V6hgMVw7nTiVJhZpY.jpg"
10702,"Martin Campbell","10/24/1943","http://image.tmdb.org/t/p/original/qhx0AySf8yH3kiHrinWknUJbr1y.jpg"
10707,"Terry Jones","2/1/1942","http://image.tmdb.org/t/p/original/pE9uxqjYWu1gnfqYElLuOamdN93.jpg"
10723,"Mike Newell","3/28/1942","http://image.tmdb.org/t/p/original/uXJQohlaEZU0xW3elacNFLXWDDg.jpg"
10757,"Jane Campion","4/30/1954","http://image.tmdb.org/t/p/original/cQQXO2uouH5RosmPU7rVRqZmrJW.jpg"
10765,"Andrzej Bartkowiak","","http://image.tmdb.org/t/p/original/K2pgHC907AUCim8WOkHOJpqERC.jpg"
10781,"Michael Apted","2/10/1941","http://image.tmdb.org/t/p/original/j5KoJlZUepN36ZD8VoDLuvV5BG5.jpg"
10790,"Sam Wood","1883-07-10","http://image.tmdb.org/t/p/original/xtotCnG8pv42k0EudM1WZ7PQMsH.jpg"
10808,"Stephen Norrington","","http://image.tmdb.org/t/p/original/8BG5bnmk28IMRN8diyTwExn68HI.jpg"
10828,"Guillermo del Toro","10/9/1964","http://image.tmdb.org/t/p/original/aBPPwt3jcFw2ridEkKTgchfPaic.jpg"
10855,"Chris Gorak","",""
10921,"Charles Laughton","1899-07-01","http://image.tmdb.org/t/p/original/vEfcV6RA6tJr035OAG9U9o4uRyL.jpg"
10930,"Irvin Kershner","4/29/1923","http://image.tmdb.org/t/p/original/iSlCSA4WeR1eNt6T0yoL4HiO9XJ.jpg"
10943,"Francis Lawrence","3/26/1970","http://image.tmdb.org/t/p/original/qVU2jQI8KrCtwv6wKf5dwXEyF7P.jpg"
10965,"Chris Columbus","9/10/1958","http://image.tmdb.org/t/p/original/2fHN78oumrJRM84UydgfVzj0YEl.jpg"
11012,"Michael Dougherty","10/28/1974",""
11090,"Edgar Wright","4/18/1974","http://image.tmdb.org/t/p/original/usP3f3DB3BgNgwlvBd5nQNXUCQv.jpg"
11091,"Brett Ratner","3/28/1969","http://image.tmdb.org/t/p/original/957qMp4h7kLlWehsDhznI39G7zr.jpg"
11151,"Nick Cassavetes","5/21/1959","http://image.tmdb.org/t/p/original/daXFYs1PxFtrAZJv5iLMpqnIGet.jpg"
11181,"Kenneth Branagh","12/10/1960","http://image.tmdb.org/t/p/original/bmpGjbqvAVNOK3ggiuET2Jl96tZ.jpg"
11218,"Alfonso Cuarón","11/28/1961","http://image.tmdb.org/t/p/original/3zYO8I24q4q3cJNohCg63V88uWo.jpg"
11266,"James McTeigue","12/29/1967","http://image.tmdb.org/t/p/original/amtLeEkP6UoB41r48vX8mew9MHJ.jpg"
11343,"David Yates","11/30/1963","http://image.tmdb.org/t/p/original/jH3hy6OqUkDCBj5JXZmnWPxhS7I.jpg"
11401,"John Woo","5/1/1946","http://image.tmdb.org/t/p/original/690wPjP1BzcSNcZqfxtkPtLwLWD.jpg"
11426,"Ben Sharpsteen","1895-11-04","http://image.tmdb.org/t/p/original/1dfzGLuG0n4IeR6ONjAFuhh8Kli.jpg"
11427,"William Roberts","1899-08-02","http://image.tmdb.org/t/p/original/mkfgT5RdFbFOwJpigXWALq9hOvz.jpg"
11428,"Paul Satterfield","8/19/1960",""
11429,"Hamilton Luske","10/16/1903","http://image.tmdb.org/t/p/original/xeyWJsFlMtgjyfZnnElMnc6qFF6.jpg"
11430,"Jim Handley","",""
11431,"Ford Beebe","1888-11-26","http://image.tmdb.org/t/p/original/hYyHEnluu3sg9mCm5ZSl3oR8Jor.jpg"
11432,"T. Hee","",""
11434,"Wilfred Jackson","6/24/1906","http://image.tmdb.org/t/p/original/iQgvspjL7upXGHSG6EbOuzBMg3Y.jpg"
11435,"Howard Hawks","1896-05-30","http://image.tmdb.org/t/p/original/elyqP5MhDcBhWErIO5W6Rn4kBlG.jpg"
11447,"Albert Hughes","4/1/1972","http://image.tmdb.org/t/p/original/wExeoXPCpuGKmNKHKwJKo8BXo4t.jpg"
11448,"Allen Hughes","4/1/1972","http://image.tmdb.org/t/p/original/mXsXXvuUSAMpWP8I2ly4mfoUWlB.jpg"
11472,"Irwin Winkler","5/28/1931","http://image.tmdb.org/t/p/original/chJjLXD7PlFhuyeverNCgemIAAC.jpg"
11505,"John Hughes","2/18/1950","http://image.tmdb.org/t/p/original/tEiFjaCIFQLRa7XXLxlAA2ty1CB.jpg"
11614,"M. Night Shyamalan","8/6/1970","http://image.tmdb.org/t/p/original/1svjYDUtS8300HhHMZXiUfMR00i.jpg"
11649,"Cameron Crowe","7/13/1957","http://image.tmdb.org/t/p/original/sTv9iN8sykNGC1lXyYDyoCIGcrd.jpg"
11676,"Mark Pellington","3/17/1962","http://image.tmdb.org/t/p/original/7TR3DIbvsLKHrCkylSJgySGcs3Z.jpg"
11694,"Doug Liman","7/24/1965","http://image.tmdb.org/t/p/original/cWpE3dSbskWOea4kAGzQpNIkfxM.jpg"
11701,"Angelina Jolie","6/4/1975","http://image.tmdb.org/t/p/original/69LcCbHUpeh6WsESY8wcEiiZFjk.jpg"
11770,"John Carpenter","1/16/1948","http://image.tmdb.org/t/p/original/5Xv3IyZaXJ2qw4ZgRmuIcdtU8xU.jpg"
11777,"Tommy Lee Wallace","",""
11809,"Rupert Wainwright","11/30/1963",""
11873,"Roger Kumble","5/28/1966","http://image.tmdb.org/t/p/original/jshZUaEbibNUa818QBq72d54Fea.jpg"
11887,"Brad Silberling","9/8/1963","http://image.tmdb.org/t/p/original/4JR2TYCatx5YFACxGB74il7EMhq.jpg"
12028,"John Moore","","http://image.tmdb.org/t/p/original/1zFWQ0hCvRgfXlQ3NaUn2HzChBW.jpg"
12058,"Vicky Jenson","","http://image.tmdb.org/t/p/original/eFk4SIk0nDpSfb1u8qG8DZ7Ya3e.jpg"
12079,"Kelly Asbury","1/15/1960","http://image.tmdb.org/t/p/original/jJAHjXFbjEUJrYjxyuj0AWMPAqW.jpg"
12080,"Conrad Vernon","","http://image.tmdb.org/t/p/original/kSyVrs8NtLoQhfBXFBhnTWzC7Vm.jpg"
12095,"Cody Cameron","2/28/1965","http://image.tmdb.org/t/p/original/tEVQtTHkBPuqUzER8mvDyy6NaVO.jpg"
12098,"Chris Miller","9/23/1975","http://image.tmdb.org/t/p/original/lw0PREJF51j1gPUQVO2tVX6dduJ.jpg"
12099,"Raman Hui","","http://image.tmdb.org/t/p/original/BmPYRLBeb2Ln881ihfemK1lo4w.jpg"
12114,"Michael Cimino","2/3/1939","http://image.tmdb.org/t/p/original/d3Xzp4OBaATnPEYUYQJEdtgAwCc.jpg"
12238,"David Lean","3/25/1908","http://image.tmdb.org/t/p/original/iUTtDo1gl0Phe342xxoPq2w643R.jpg"
12453,"Wong Kar-Wai","7/17/1956","http://image.tmdb.org/t/p/original/rGk5pKmYcWB3jVPCfZcTZxDrAUr.jpg"
12523,"Rob Bowman","5/15/1960","http://image.tmdb.org/t/p/original/5iUOH0n8ecLgzkr2O3aEWDknyeJ.jpg"
12524,"Chris Carter","10/13/1956","http://image.tmdb.org/t/p/original/cQl1drdtGH9CdUNKD0E1jc1q1Ww.jpg"
12632,"Daniel Sackheim","","http://image.tmdb.org/t/p/original/wSMRjEWrrYFUDd1KQCJvW2cAvh3.jpg"
12677,"Matthew Robbins","","http://image.tmdb.org/t/p/original/oK61i61u3G5zZO5EtXmepY9IxGy.jpg"
12698,"Bob Clark","8/5/1939","http://image.tmdb.org/t/p/original/yQgRWKPFH2uFWIJiWr5EyWLRbvD.jpg"
12708,"Peter Billingsley","4/16/1971","http://image.tmdb.org/t/p/original/2wlX6TzKnghrZHIdbtA2oKxKHcv.jpg"
12786,"Simon West","","http://image.tmdb.org/t/p/original/dgg76ebEa1KMdclIL0UrYQTOK7H.jpg"
12804,"Peter Yates","7/24/1929","http://image.tmdb.org/t/p/original/skBRJxvtvkylZXk6zjNPvwytr5S.jpg"
12824,"Don Hahn","","http://image.tmdb.org/t/p/original/aYdUzIkPlyo0ckyY7GDYCY028sQ.jpg"
12840,"John Badham","8/25/1939","http://image.tmdb.org/t/p/original/oAhHnnyoIY7qgg7aERbsOuqFdow.jpg"
12859,"Steven Lisberger","4/24/1951","http://image.tmdb.org/t/p/original/ixjKUmGCNjA0dkeGI1pqKtNEolj.jpg"
12881,"Gary Goldman","11/17/1944","http://image.tmdb.org/t/p/original/3GPDphDxHIlT3D8GiMCKsf3X4Rj.jpg"
12890,"Pete Docter","10/9/1968","http://image.tmdb.org/t/p/original/fZJZib1OL5Kx8dLmWwn9iKqqJjT.jpg"
12891,"Joss Whedon","6/23/1964","http://image.tmdb.org/t/p/original/n2x16sVDgj46PabFgJ0jvgjqxWl.jpg"
12905,"Ash Brannon","","http://image.tmdb.org/t/p/original/6ueWgPEEBHvS3De2BHYQnYjRTig.jpg"
12920,"David S. Ward","10/25/1945",""
12936,"Jim Abrahams","5/10/1944","http://image.tmdb.org/t/p/original/lXpyiQ7tSxrxBeop8LLIltOorUN.jpg"
12962,"Jon Turteltaub","8/8/1963","http://image.tmdb.org/t/p/original/borF48XTUkOCKE3ryh3BFxe4Unr.jpg"
12964,"Michael Ritchie","11/28/1938","http://image.tmdb.org/t/p/original/62566NoTLMRVLdoE07RG1B55zxy.jpg"
12987,"David Zucker","10/16/1947","http://image.tmdb.org/t/p/original/rJzWA35n0dsn4xecDGW8x7EkmKB.jpg"
12988,"Paul Michael Glaser","3/25/1943","http://image.tmdb.org/t/p/original/yc39Cj9ZmaEnrKZIRnYLPAdDyCK.jpg"
12989,"Andrew Davis","11/21/1946","http://image.tmdb.org/t/p/original/vE3ls4wUsHQZAtu4gIzTIeQEmMG.jpg"
12995,"Marc Forster","11/30/1969","http://image.tmdb.org/t/p/original/mYpqFeHOKTPXLbZRKQjW1xECycl.jpg"
13015,"Phillip Noyce","4/29/1950","http://image.tmdb.org/t/p/original/Ahe8rRwCQ18fxtecekD1gYTXiXv.jpg"
13079,"Gavin Hood","5/12/1963","http://image.tmdb.org/t/p/original/1W4NlD5YpGHnXdD2HGeG9bWSqYV.jpg"
13235,"Alexander Payne","2/10/1961","http://image.tmdb.org/t/p/original/h18f3FfgQUe19s8d4RMnONSX5gk.jpg"
13265,"Franklin J. Schaffner","5/30/1920","http://image.tmdb.org/t/p/original/dqrDUANz8sf0BXTBh0gr1heUr5U.jpg"
13284,"Stanley Donen","4/13/1924","http://image.tmdb.org/t/p/original/8r91mtKkWdYri739IilAvTVzr1E.jpg"
13294,"Gene Kelly","8/23/1912","http://image.tmdb.org/t/p/original/xbQZidMyhviuLmI1h8cJoJ7F1LV.jpg"
13426,"Peter Segal","1/1/1962","http://image.tmdb.org/t/p/original/sR43dLCaaPbfImGenqOwB8vcJ4e.jpg"
13484,"Jim Sharman","3/12/1945",""
13524,"Christopher Guest","2/5/1948","http://image.tmdb.org/t/p/original/fhEQq0q2aR2sh4HU824xunoyAce.jpg"
13563,"Norman Jewison","7/21/1926","http://image.tmdb.org/t/p/original/umNoz1FsJtvoWKlCsgNOqWlfrgh.jpg"
13581,"Brian Levant","8/6/1952","http://image.tmdb.org/t/p/original/6fM0CJSEqwC50wivfx8Z7sPcikb.jpg"
13594,"Joseph Barbera","3/24/1911","http://image.tmdb.org/t/p/original/A8Lorvx5HirKefQWmhftWGO5VI4.jpg"
13614,"Deborah Kaplan","",""
13615,"Harry Elfont","4/5/1968",""
13620,"William Hanna","7/14/1910","http://image.tmdb.org/t/p/original/3rCaagU4QRi0JJhcdbUGKoqEWtG.jpg"
13680,"Marc Caro","4/2/1956","http://image.tmdb.org/t/p/original/tUOvPzeZsFLjkclLks4xATX5PJC.jpg"
13776,"John Frankenheimer","2/19/1930","http://image.tmdb.org/t/p/original/u0lDkOUhuZZmNqEOYHRi2H3wKx8.jpg"
13848,"Charles Chaplin","1889-04-16","http://image.tmdb.org/t/p/original/bVb2oQLRef7oixkSvqj7KGelM9Q.jpg"
13859,"Stuart Rosenberg","8/11/1927",""
13927,"Kurt Wimmer","","http://image.tmdb.org/t/p/original/vO84pZBssHveIxxnh2d2sbNNCLY.jpg"
14172,"Michael McCullers","",""
14392,"Kathryn Bigelow","11/27/1951","http://image.tmdb.org/t/p/original/kvKE9lJXJHziYH8jmnFZ4c6QcBP.jpg"
